video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ZHCgA-n5wRw&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@NatGeo,National Geographic,Are Microplastics in Our Water Becoming a Macroproblem? | National Geographic,215K,8 years,"You might not be able to see them, but they're in the water. Although trash heaps are easier to spot in waterways, ...",2024-01-30 02:08:33.956369
/watch?v=zVWHXg4TBaM&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@EFSA_EU,EFSAchannel,What are the effects of microplastics and nanoplastics on human health?,2.5K,2 years,"Subtitles are available in English, French, German, Italian and Spanish. Click on the “turn on captions” button in the lower right ...",2024-01-30 02:08:33.958815
/watch?v=CwX6YpocW7c&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@StirlingCooper,Stirling Cooper,How Microplastics Infest Your Body,8.2K,6 months,"Microplastics infest your body in the modern world. It is in our blood, our brain, and our lungs. Stirling Cooper presents research ...",2024-01-30 02:08:33.961486
/watch?v=O1B44VmZFiI&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@joerogan,PowerfulJRE,Dr. Shanna Swan on How Plastics in Food are Affecting Our Hormone Levels,1.2M,2 years,Taken from JRE #1638 w/Dr. Shanna Swan: ...,2024-01-30 02:08:33.963975
/watch?v=RS7IzU2VJIQ&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,Plastic Pollution: How Humans are Turning the World into Plastic,9.3M,5 years,Modern life would be impossible without plastic – but we have long since lost control over our invention. Why has plastic turned ...,2024-01-30 02:08:33.967899
/shorts/Fc51lVjaseY,/@Oneminmicro,Walt (oneminmicro),Canned fish under microscope reveals MICROPLASTICS!,827K,5 months,Microplastic - is it going to be a public health emergency in the future? I'd love to know what you think! And if you'd like some extra ...,2024-01-30 02:08:33.970511
/watch?v=RvshJFZl5T0&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@10TampaBay,10 Tampa Bay,Researchers find microplastics in human blood for the first time,1.2K,1 year,Microplastics — the small pieces of plastic debris that have found their way into every aspect of our planet are now in our blood.,2024-01-30 02:08:33.973079
/shorts/FnCY8yLLZdg,/@doctorjanine,"Dr. Janine Bowring, ND",How to Remove Microplastics from Your Body #shorts,58K,6 months,How to Remove Microplastics from Your Body #shorts Dr. Janine shares how to remove microplastics from your body. She talks ...,2024-01-30 02:08:44.589221
/watch?v=BIvHrC_mS_M&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@aragusea,Adam Ragusea,Food Plastics = Estrogens in Your Body,518K,4 years,"It's true: Chemicals in common food plastics mimic estrogens in your body, potentially causing fertility problems in men, heart ...",2024-01-30 02:08:44.596941
/watch?v=w-heU3ydI_E&pp=ygUNbWljcm9wbGFzdGljcw%3D%3D,/@D2E,Down To Earth,Microplastics in your bottled water?,10K,5 years,Latest studies have claimed that the best brands of bottled water may be contaminated with microplastics. These are cancer ...,2024-01-30 02:08:44.600436
